image,roi1_mean,roi1_variance,roi1_std,roi1_coef_var,roi1_p10,roi1_p50,roi1_p90,roi2_mean,roi2_variance,roi2_std,roi2_coef_var,roi2_p10,roi2_p50,roi2_p90
CASE 1 (108).JPG,-0.023853641,0.03423252,0.18502033,-7.7564816,-0.2384432,-0.04797645,0.20067489,0.2483128,0.020655375,0.14371978,0.57878524,0.078669325,0.22524777,0.40996492
CASE 1 (109).JPG,-0.025193904,0.032224007,0.17951046,-7.1251545,-0.23232399,-0.04733974,0.19154051,0.23529923,0.017909044,0.13382468,0.5687425,0.073218025,0.21676213,0.37792876
CASE 1 (11).JPG,-0.0288761,0.033231437,0.18229492,-6.3130035,-0.23977402,-0.04901185,0.19280845,0.2632279,0.022307727,0.14935772,0.5674084,0.07622468,0.23738676,0.44320846
CASE 1 (110).JPG,-0.025093904,0.032324007,0.17961046,-7.1250545,-0.23222399000000002,-0.047239739999999995,0.19164051,0.23539923,0.018009044,0.13392468,0.5688425,0.07331802500000001,0.21686213,0.37802875999999996
CASE 1 (111).JPG,-0.028258223,0.03229111,0.17969728,-6.3591146,-0.2379224,-0.048013885,0.1883332,0.23582944,0.018307159,0.13530394,0.5737364,0.076583266,0.2173222,0.3835257
CASE 1 (112).JPG,-0.028158223,0.03239111,0.17979727999999998,-6.3590146,-0.23782240000000002,-0.047913884999999996,0.1884332,0.23592944,0.018407159,0.13540394,0.5738364,0.076683266,0.21742219999999998,0.3836257
CASE 1 (113).JPG,-0.026993219,0.032619044,0.18060744,-6.690845,-0.23812482,-0.04721792,0.18974718,0.24651028,0.020046514,0.14158571,0.57436025,0.081336394,0.22344537,0.40321404
CASE 1 (114).JPG,-0.026709476,0.031864867,0.17850733,-6.6832957,-0.23214373,-0.049186032,0.19037321,0.23484623,0.017763695,0.13328052,0.56752247,0.07070895,0.21878827,0.38281462
CASE 1 (115).JPG,-0.026609476,0.031964867,0.17860732999999998,-6.683195700000001,-0.23204373,-0.049086031999999995,0.19047320999999998,0.23494622999999998,0.017863695,0.13338052,0.56762247,0.07080895000000001,0.21888827,0.38291462
CASE 1 (116).JPG,-0.02448883,0.032964155,0.18156034,-7.4140067,-0.23757574,-0.043680996,0.19615003,0.2633405,0.02099916,0.14491087,0.5502795,0.08471995,0.24253605,0.43632442
CASE 1 (117).JPG,-0.02438883,0.033064155000000005,0.18166033999999998,-7.4139067,-0.23747574000000002,-0.043580996,0.19625003,0.26344049999999997,0.02109916,0.14501087,0.5503795,0.08481995,0.24263605,0.43642442
CASE 1 (118).JPG,-0.036120474,0.030507734,0.17466463,-4.835613,-0.24299487,-0.049773984,0.17529729,0.23551188,0.01882704,0.13721167,0.58261037,0.07584413,0.21482176,0.39365438
CASE 1 (119).JPG,-0.036020474,0.030607734,0.17476462999999998,-4.835513000000001,-0.24289487,-0.049673984,0.17539728999999998,0.23561188,0.01892704,0.13731167,0.58271037,0.07594413,0.21492176,0.39375438
CASE 1 (12).JPG,-0.033908427,0.03198558,0.17884514,-5.274357,-0.24252707,-0.051867127,0.18365186,0.25130263,0.021449063,0.14645499,0.58278334,0.071375966,0.2275782,0.4238818
CASE 1 (120).JPG,-0.0188381,0.03352554,0.1830998,-9.719653,-0.22936793,-0.04255919,0.20347175,0.2487681,0.018364508,0.1355157,0.5447471,0.0797917,0.22969407,0.4119889
CASE 1 (121).JPG,-0.026047807,0.032615494,0.1805976,-6.933313,-0.23810942,-0.04511955,0.19210587,0.2428168,0.019169942,0.13845555,0.5702058,0.075828105,0.22027126,0.41188878
CASE 1 (122).JPG,-0.023834476,0.03405931,0.18455164,-7.7430544,-0.2401246,-0.04433159,0.19855471,0.2484571,0.02091566,0.14462247,0.5820823,0.079635434,0.22257745,0.42939776
CASE 1 (123).JPG,-0.023734476,0.034159310000000005,0.18465163999999998,-7.7429544,-0.2400246,-0.044231589999999994,0.19865470999999998,0.24855709999999998,0.02101566,0.14472247,0.5821823,0.07973543400000001,0.22267745,0.42949776
CASE 1 (124).JPG,-0.023698248,0.032381848,0.17994957,-7.59337,-0.2338084,-0.04365009,0.19435208,0.24468553,0.019133018,0.13832216,0.5653058,0.07476444,0.22267576,0.4097962
CASE 1 (125).JPG,-0.029342951,0.031488955,0.17745127,-6.047492,-0.23872282,-0.04558861,0.18490152,0.24893768,0.02138307,0.1462295,0.5874141,0.07670259,0.2233057,0.43173164
CASE 1 (126).JPG,-0.029242951,0.031588955,0.17755126999999998,-6.047392,-0.23862282,-0.04548861,0.18500152,0.24903767999999998,0.02148307,0.1463295,0.5875141,0.07680259,0.22340569999999998,0.43183164
CASE 1 (127).JPG,-0.022807129,0.032843098,0.18122664,-7.9460526,-0.23529965,-0.041379903,0.19422996,0.25000066,0.021013495,0.14496031,0.5798397,0.07981677,0.22522172,0.43166932
CASE 1 (128).JPG,-0.028184697,0.03244634,0.18012868,-6.39101,-0.24031623,-0.046165787,0.18737239,0.25115126,0.021598767,0.14696519,0.58516604,0.07629701,0.22452062,0.43075296
CASE 1 (129).JPG,-0.028084697000000002,0.03254634,0.18022868,-6.39091,-0.24021623,-0.046065787,0.18747239,0.25125126,0.021698767,0.14706518999999998,0.58526604,0.07639701,0.22462062,0.43085296
CASE 1 (13).JPG,-0.033808426999999995,0.03208558,0.17894514,-5.274257,-0.24242707000000002,-0.051767126999999996,0.18375186,0.25140263,0.021549063,0.14655499,0.58288334,0.071475966,0.2276782,0.42398179999999996
CASE 1 (130).JPG,-0.019086033,0.03252504,0.180347,-9.449161,-0.22740628,-0.041915834,0.20047009,0.24454224,0.018968051,0.13772455,0.56319326,0.07661281,0.22491938,0.41244856
CASE 1 (131).JPG,-0.01909299,0.03412837,0.18473865,-9.675732,-0.23518834,-0.041619036,0.2041576,0.2525036,0.021148164,0.14542408,0.57592875,0.07988696,0.22683993,0.4241848
CASE 1 (132).JPG,-0.01899299,0.03422837,0.18483865,-9.675632,-0.23508834,-0.041519035999999995,0.20425759999999998,0.2526036,0.021248164,0.14552408,0.57602875,0.07998696000000001,0.22693992999999998,0.42428479999999996
CASE 1 (133).JPG,-0.025625026,0.03336616,0.18266407,-7.1283464,-0.23786478,-0.04813283,0.19542749,0.2420393,0.01995807,0.14127304,0.5836781,0.07962316,0.21994308,0.399243
CASE 1 (134).JPG,-0.027443957,0.0329032,0.18139239,-6.6095567,-0.23897566,-0.049020007,0.1910271,0.24407035,0.020152971,0.14196116,0.5816403,0.08121728,0.22135124,0.40415344
CASE 1 (135).JPG,-0.027343957000000002,0.0330032,0.18149238999999998,-6.6094567,-0.23887566000000002,-0.048920006999999995,0.1911271,0.24417034999999998,0.020252970999999998,0.14206116,0.5817403,0.08131728,0.22145124,0.40425343999999996
CASE 1 (136).JPG,-0.017543582,0.03337136,0.1826783,-10.4128275,-0.23123483,-0.041685626,0.20806791,0.2584055,0.019520104,0.13971436,0.54067874,0.08655315,0.24224894,0.41922587
CASE 1 (137).JPG,-0.017443582,0.033471360000000006,0.18277829999999998,-10.4127275,-0.23113483,-0.041585626,0.20816790999999998,0.2585055,0.019620104,0.13981436,0.54077874,0.08665315,0.24234893999999998,0.41932587
CASE 1 (138).JPG,-0.031763356,0.031596586,0.17775428,-5.596206,-0.2402096,-0.049514756,0.1835463,0.24260975,0.020177849,0.14204876,0.5855031,0.079008505,0.22207326,0.4091213
CASE 1 (139).JPG,-0.031663356,0.031696586000000006,0.17785427999999998,-5.596106,-0.2401096,-0.049414756,0.18364629999999998,0.24270975,0.020277849,0.14214875999999999,0.5856031,0.07910850500000001,0.22217325999999998,0.4092213
CASE 1 (14).JPG,-0.033055242,0.03196695,0.17879304,-5.4089165,-0.24009715,-0.05180256,0.1843335,0.24629451,0.019955002,0.14126217,0.5735498,0.070262976,0.22283453,0.41518483
CASE 1 (140).JPG,-0.024981048,0.033223264,0.1822725,-7.296431,-0.23792078,-0.047409218,0.1947517,0.23821096,0.0188943,0.13745654,0.577037,0.07939764,0.21607411,0.38915232
CASE 1 (141).JPG,-0.027750427,0.033036046,0.18175821,-6.5497446,-0.23820832,-0.049798705,0.19348675,0.24226849,0.019443266,0.1394391,0.5755561,0.079945475,0.22120185,0.40074614
CASE 1 (142).JPG,-0.027650427,0.033136046,0.18185821,-6.549644600000001,-0.23810832,-0.049698704999999996,0.19358675,0.24236849,0.019543266,0.1395391,0.5756561,0.080045475,0.22130185,0.40084613999999996
CASE 1 (143).JPG,-0.022534797,0.033640824,0.18341435,-8.139162,-0.23473589,-0.047192335,0.20177332,0.24062975,0.01834353,0.1354383,0.56284934,0.07731127,0.22049782,0.39322716
CASE 1 (144).JPG,-0.022434797,0.033740824,0.18351435,-8.139062000000001,-0.23463589,-0.047092335,0.20187332,0.24072975,0.01844353,0.1355383,0.56294934,0.07741127,0.22059782,0.39332716
CASE 1 (15).JPG,-0.029845629,0.03220769,0.17946501,-6.0131087,-0.2382587,-0.048812177,0.187746,0.24308759,0.019405093,0.13930216,0.57305336,0.07307372,0.22286972,0.41367257
CASE 1 (16).JPG,-0.029745629,0.03230769,0.17956501,-6.0130087,-0.2381587,-0.048712176999999995,0.18784599999999999,0.24318758999999998,0.019505093,0.13940216,0.57315336,0.07317372,0.22296971999999998,0.41377257
CASE 1 (17).JPG,-0.03056675,0.031633012,0.17785671,-5.8186336,-0.23834965,-0.048730616,0.1880459,0.24707194,0.020063411,0.14164537,0.57329607,0.07414863,0.22729817,0.41677487
CASE 1 (18).JPG,-0.030785363,0.03339551,0.18274438,-5.93608,-0.24362056,-0.049450256,0.19016144,0.2486196,0.020730546,0.14398105,0.5791219,0.07128441,0.22679198,0.42332944
CASE 1 (19).JPG,-0.030685363,0.033495510000000006,0.18284438,-5.93598,-0.24352056000000002,-0.049350255999999995,0.19026143999999998,0.24871959999999999,0.020830546,0.14408105,0.5792219,0.07138441000000001,0.22689198,0.42342944
CASE 1 (2).JPG,-0.031492125,0.032140937,0.17927894,-5.692818,-0.2403908,-0.050753817,0.18476743,0.23469594,0.018623529,0.13646805,0.58146745,0.074729554,0.2170437,0.38118568
CASE 1 (20).JPG,-0.025484331,0.032964405,0.18156102,-7.124418,-0.23754805,-0.04650729,0.194073,0.2598077,0.021323252,0.14602484,0.5620497,0.077220246,0.23694323,0.4312362
CASE 1 (21).JPG,-0.025384331,0.033064405000000005,0.18166101999999998,-7.124318000000001,-0.23744805000000002,-0.04640729,0.19417299999999998,0.25990769999999996,0.021423252,0.14612483999999998,0.5621497,0.07732024600000001,0.23704323,0.4313362
CASE 1 (22).JPG,-0.027400652,0.032208055,0.17946602,-6.549699,-0.23811871,-0.047492526,0.18858452,0.24253638,0.017949946,0.13397741,0.5524013,0.0735962,0.22234201,0.4002273
CASE 1 (23).JPG,-0.027300652,0.032308055,0.17956602,-6.549599000000001,-0.23801871000000002,-0.047392526,0.18868452,0.24263637999999998,0.018049946,0.13407740999999998,0.5525013,0.0736962,0.22244201,0.4003273
CASE 1 (24).JPG,-0.024669146,0.03288107,0.18133138,-7.3505335,-0.23618783,-0.0451511,0.19485578,0.25179693,0.02005578,0.14161843,0.5624311,0.07446081,0.23127526,0.41838655
CASE 1 (25).JPG,-0.024569146,0.03298107,0.18143137999999998,-7.3504335,-0.23608783,-0.0450511,0.19495578,0.25189692999999996,0.020155779999999998,0.14171842999999998,0.5625311,0.07456081,0.23137526,0.41848655
CASE 1 (26).JPG,-0.028441964,0.032429527,0.18008201,-6.33156,-0.2376987,-0.047950167,0.19026339,0.24939007,0.019769805,0.14060514,0.56379604,0.07195942,0.22990221,0.41504326
CASE 1 (27).JPG,-0.028341964,0.032529527,0.18018200999999998,-6.33146,-0.23759870000000002,-0.047850167,0.19036339,0.24949006999999998,0.019869805,0.14070513999999998,0.56389604,0.07205942,0.23000220999999998,0.41514326
CASE 1 (28).JPG,-0.032786153,0.031630766,0.1778504,-5.424558,-0.2417524,-0.050719783,0.18437335,0.24784382,0.01969653,0.14034432,0.5662611,0.06734076,0.22924048,0.4153218
CASE 1 (29).JPG,-0.030970786,0.032825135,0.18117708,-5.849935,-0.24217354,-0.049910698,0.18856603,0.24782416,0.020854142,0.14440963,0.58271,0.07107575,0.22256725,0.4177228
CASE 1 (3).JPG,-0.031392125,0.032240937000000004,0.17937894,-5.692718,-0.2402908,-0.050653817,0.18486743,0.23479593999999998,0.018723529,0.13656805,0.58156745,0.074829554,0.2171437,0.38128568
CASE 1 (30).JPG,-0.023448456,0.031081825,0.17630039,-7.5186353,-0.22426437,-0.04650717,0.19108096,0.23083636,0.0150307035,0.12259977,0.5311112,0.06357174,0.21996784,0.38251656
CASE 1 (31).JPG,-0.023348456,0.031181825,0.17640039,-7.5185353,-0.22416437,-0.04640717,0.19118095999999998,0.23093635999999998,0.015130703499999999,0.12269977,0.5312112,0.06367174,0.22006784,0.38261656
CASE 1 (32).JPG,-0.020723695,0.03399123,0.1843671,-8.89644,-0.23574717,-0.044352688,0.20112672,0.24876246,0.02003246,0.14153607,0.5689607,0.07846255,0.22545198,0.4127136
CASE 1 (33).JPG,-0.020623695,0.03409123,0.1844671,-8.89634,-0.23564717000000002,-0.044252688,0.20122672,0.24886245999999998,0.020132459999999998,0.14163607,0.5690607,0.07856255000000001,0.22555197999999999,0.4128136
CASE 1 (34).JPG,-0.023833793,0.03317671,0.18214475,-7.6422896,-0.23589644,-0.04591052,0.19298913,0.23746383,0.01906363,0.1380711,0.58144057,0.07454612,0.21417427,0.3868207
CASE 1 (35).JPG,-0.023733793,0.03327671,0.18224474999999998,-7.6421896,-0.23579644000000002,-0.04581052,0.19308913,0.23756382999999998,0.01916363,0.1381711,0.58154057,0.07464612,0.21427427,0.3869207
CASE 1 (36).JPG,-0.049268153,0.031260274,0.17680575,-3.5886416,-0.25828898,-0.061855394,0.16616832,0.23020826,0.020217378,0.14218782,0.61764866,0.059618264,0.20735672,0.3975548
CASE 1 (37).JPG,-0.049168153,0.031360274,0.17690575,-3.5885415999999997,-0.25818898,-0.061755394,0.16626832,0.23030826,0.020317378,0.14228781999999998,0.61774866,0.059718264,0.20745671999999998,0.3976548
CASE 1 (38).JPG,-0.049068153,0.031460273999999996,0.17700575000000002,-3.5884416,-0.25808898,-0.061655394,0.16636832000000001,0.23040826,0.020417378,0.14238782,0.6178486599999999,0.059818263999999996,0.20755672,0.39775479999999996
CASE 1 (39).JPG,-0.05430951,0.029183233,0.17083101,-3.1455083,-0.25797135,-0.06458032,0.14732353,0.20678009,0.018342843,0.13543576,0.6549749,0.052375205,0.18748862,0.35730433
CASE 1 (4).JPG,-0.0085935425,0.036062703,0.18990183,-22.098202,-0.2279217,-0.03617242,0.22512513,0.28496817,0.022634786,0.15044862,0.52794886,0.09760716,0.2673326,0.46139264
CASE 1 (40).JPG,-0.026468363,0.032812737,0.18114287,-6.8437505,-0.23334745,-0.049843363,0.19534352,0.23930015,0.016665265,0.12909402,0.53946483,0.067180105,0.22399324,0.39741838
CASE 1 (41).JPG,-0.026368363000000002,0.032912737000000004,0.18124287,-6.8436505,-0.23324745000000002,-0.049743363,0.19544351999999998,0.23940014999999998,0.016765264999999998,0.12919402,0.53956483,0.067280105,0.22409324,0.39751838
CASE 1 (42).JPG,-0.031210136,0.030772446,0.17542076,-5.6206346,-0.23454496,-0.048925817,0.18130122,0.240818,0.018475313,0.13592392,0.56442595,0.07328873,0.21811578,0.40675488
CASE 1 (43).JPG,-0.03772923,0.03116044,0.1765232,-4.678685,-0.24716862,-0.052103855,0.17497827,0.24340329,0.020646095,0.14368749,0.59032685,0.076994196,0.21688914,0.41500574
CASE 1 (44).JPG,-0.03762923,0.03126044,0.17662319999999998,-4.678585,-0.24706862000000002,-0.052003854999999995,0.17507826999999998,0.24350328999999998,0.020746095,0.14378749,0.59042685,0.077094196,0.21698914,0.41510574
CASE 1 (45).JPG,-0.022680644,0.030858155,0.1756649,-7.7451463,-0.22055607,-0.049103856,0.19585286,0.22929513,0.014807512,0.12168612,0.5306965,0.0590786,0.2158929,0.37617716
CASE 1 (46).JPG,-0.022580644,0.030958155,0.1757649,-7.7450463,-0.22045607,-0.049003856,0.19595285999999998,0.22939513,0.014907512,0.12178612,0.5307965,0.059178600000000005,0.2159929,0.37627716
CASE 1 (47).JPG,-0.029932074,0.03175661,0.17820384,-5.953608,-0.23647271,-0.049353305,0.18648325,0.24706237,0.019799363,0.1407102,0.5695331,0.073723584,0.2240631,0.4160594
CASE 1 (48).JPG,-0.038308516,0.031105347,0.17636707,-4.603861,-0.24578924,-0.05295214,0.17274342,0.24038497,0.021042349,0.14505981,0.6034479,0.06755946,0.21422267,0.4153535
CASE 1 (49).JPG,-0.038208516,0.031205346999999998,0.17646706999999998,-4.603761,-0.24568924,-0.05285214,0.17284342,0.24048497,0.021142348999999998,0.14515981,0.6035479,0.06765946,0.21432267,0.4154535
CASE 1 (5).JPG,-0.024752546,0.03259566,0.18054268,-7.2939034,-0.23659827,-0.043503515,0.19314414,0.26636901,0.02298021,0.15159225,0.56910616,0.08508462,0.23987591,0.448701
CASE 1 (50).JPG,-0.02824758,0.033554323,0.1831784,-6.4847465,-0.23927377,-0.047820766,0.1919415,0.2431315,0.020359974,0.14268838,0.58687735,0.07494817,0.21920769,0.412987
CASE 1 (51).JPG,-0.02996597,0.03215743,0.17932492,-5.9842854,-0.23822175,-0.05028654,0.18977277,0.2491749,0.02095183,0.14474747,0.5809071,0.07107628,0.22677213,0.42138132
CASE 1 (52).JPG,-0.033480957,0.030169047,0.17369239,-5.1877966,-0.23688261,-0.05016565,0.17598672,0.23065114,0.01646523,0.12831691,0.5563246,0.06537864,0.21460162,0.3868683
CASE 1 (53).JPG,-0.033380956999999996,0.030269047,0.17379239,-5.187696600000001,-0.23678261,-0.050065649999999996,0.17608672,0.23075114,0.01656523,0.12841691,0.5564245999999999,0.06547864,0.21470161999999998,0.3869683
CASE 1 (54).JPG,-0.029901974,0.028901383,0.17000407,-5.6853795,-0.2281857,-0.04785359,0.1804529,0.22699097,0.015866827,0.1259636,0.5549278,0.0712709,0.2117879,0.3741761
CASE 1 (55).JPG,-0.029801974000000002,0.029001383,0.17010407,-5.6852795,-0.2280857,-0.04775359,0.1805529,0.22709096999999998,0.015966827,0.1260636,0.5550278,0.0713709,0.2118879,0.3742761
CASE 1 (56).JPG,-0.030067135,0.033056963,0.18181574,-6.046993,-0.24258098,-0.050981257,0.18760389,0.24030654,0.019900411,0.14106882,0.58703697,0.073116295,0.2181968,0.39866436
CASE 1 (57).JPG,-0.029967135,0.033156963000000005,0.18191574,-6.046893,-0.24248098,-0.050881257,0.18770388999999998,0.24040654,0.020000411,0.14116882,0.58713697,0.073216295,0.21829679999999999,0.39876436
CASE 1 (58).JPG,-0.032462165,0.032072656,0.1790884,-5.5168347,-0.24044146,-0.051944826,0.18283908,0.22926703,0.01836194,0.13550623,0.591041,0.066685505,0.21054143,0.37891936
CASE 1 (59).JPG,-0.032362165,0.032172656,0.1791884,-5.516734700000001,-0.24034146,-0.051844826,0.18293907999999998,0.22936703,0.01846194,0.13560623,0.591141,0.06678550500000001,0.21064143,0.37901935999999997
CASE 1 (6).JPG,-0.024652546,0.03269566,0.18064268,-7.2938034,-0.23649827,-0.043403515,0.19324413999999998,0.26646901,0.02308021,0.15169225,0.56920616,0.08518462,0.23997591,0.448801
CASE 1 (60).JPG,-0.025773114,0.033496603,0.18302077,-7.1012287,-0.23610672,-0.05063948,0.19484262,0.23306696,0.019178772,0.13848744,0.59419596,0.07180265,0.20884791,0.38601303
CASE 1 (61).JPG,-0.025134327,0.03363661,0.18340287,-7.296908,-0.23627965,-0.049442247,0.198223,0.24548328,0.020075886,0.1416894,0.5771856,0.076704025,0.22145727,0.39994487
CASE 1 (62).JPG,-0.025034327000000002,0.03373661,0.18350286999999998,-7.296808,-0.23617965000000002,-0.049342247,0.198323,0.24558328,0.020175886,0.14178939999999998,0.5772856,0.076804025,0.22155727,0.40004487
CASE 1 (63).JPG,-0.030404942,0.03145562,0.17735733,-5.833174,-0.2365961,-0.050185855,0.18555716,0.2293567,0.017018955,0.13045672,0.568794,0.07132939,0.21202353,0.37691388
CASE 1 (64).JPG,-0.03444814,0.03136892,0.17711273,-5.141431,-0.24245936,-0.052104145,0.1831849,0.24369925,0.02024817,0.14229606,0.5839003,0.07474178,0.22170681,0.39641905
CASE 1 (65).JPG,-0.03434814,0.031468920000000004,0.17721272999999998,-5.141331,-0.24235936000000002,-0.052004144999999995,0.1832849,0.24379925,0.02034817,0.14239606,0.5840003,0.07484178,0.22180681,0.39651905
CASE 1 (66).JPG,-0.027539298,0.033182256,0.18215998,-6.614547,-0.23818916,-0.04854855,0.19294184,0.2409693,0.02017673,0.14204481,0.58947265,0.07770454,0.21665257,0.39663297
CASE 1 (67).JPG,-0.02723965,0.03331991,0.18253742,-6.701166,-0.23812439,-0.049525067,0.19379087,0.24159554,0.019382343,0.13922048,0.57625437,0.079852834,0.22147322,0.39574578
CASE 1 (68).JPG,-0.02713965,0.033419910000000004,0.18263742,-6.701066,-0.23802439,-0.049425066999999996,0.19389087,0.24169554,0.019482343,0.13932048,0.57635437,0.079952834,0.22157322,0.39584578
CASE 1 (69).JPG,-0.031574607,0.030642705,0.17505057,-5.54403,-0.23812582,-0.0483459,0.18306962,0.2372465,0.019254383,0.13876016,0.5848776,0.07705836,0.217589,0.39203984
CASE 1 (7).JPG,-0.034167245,0.031137725,0.17645885,-5.1645617,-0.2412009,-0.049758546,0.17665814,0.24040022,0.020548712,0.14334822,0.5962899,0.07391772,0.213178,0.4149241
CASE 1 (70).JPG,-0.028088748,0.032178447,0.17938352,-6.386312,-0.23714197,-0.047643445,0.18878075,0.23325528,0.019270571,0.13881849,0.59513545,0.076361194,0.21164608,0.39091393
CASE 1 (71).JPG,-0.027988748,0.032278447,0.17948351999999998,-6.386212,-0.23704197000000002,-0.047543445,0.18888075,0.23335528,0.019370571,0.13891848999999998,0.59523545,0.076461194,0.21174607999999998,0.39101393
CASE 1 (72).JPG,-0.02717891,0.031186277,0.17659637,-6.497552,-0.2344156,-0.04593337,0.18681236,0.23698281,0.018620458,0.1364568,0.5758089,0.076865666,0.2169376,0.392468
CASE 1 (73).JPG,-0.02707891,0.031286277,0.17669637,-6.497452,-0.2343156,-0.04583337,0.18691236,0.23708280999999998,0.018720458,0.13655679999999998,0.5759089,0.076965666,0.2170376,0.392568
CASE 1 (74).JPG,-0.033294316,0.030912407,0.17581925,-5.2807584,-0.23925973,-0.05023955,0.18184924,0.23703972,0.018432673,0.13576698,0.57276046,0.072997265,0.21992967,0.39229473
CASE 1 (75).JPG,-0.033194315999999995,0.031012407,0.17591925,-5.2806584,-0.23915973000000001,-0.05013955,0.18194923999999998,0.23713972,0.018532673,0.13586698,0.57286046,0.07309726500000001,0.22002966999999998,0.39239472999999997
CASE 1 (76).JPG,-0.027659494,0.033567537,0.18321446,-6.6239266,-0.23907101,-0.04936678,0.2027746,0.2449723,0.01987291,0.1409713,0.5754581,0.0781146,0.22518456,0.39851183
CASE 1 (77).JPG,-0.03204973,0.032619283,0.1806081,-5.6352453,-0.24322812,-0.051917203,0.18676928,0.24287617,0.020472225,0.14308119,0.5891117,0.07594207,0.2232931,0.4062177
CASE 1 (78).JPG,-0.031949729999999996,0.032719283,0.18070809999999998,-5.6351453000000005,-0.24312812,-0.051817203,0.18686928,0.24297617,0.020572225,0.14318118999999999,0.5892117,0.07604207,0.22339309999999998,0.4063177
CASE 1 (79).JPG,-0.028036201,0.03331128,0.18251379,-6.509933,-0.24053141,-0.047790285,0.19259161,0.26036093,0.021984654,0.14827223,0.5694873,0.08170701,0.23342988,0.43640384
CASE 1 (8).JPG,-0.034067244999999996,0.031237725,0.17655885,-5.1644617,-0.2411009,-0.049658546,0.17675813999999998,0.24050022,0.020648712,0.14344822,0.5963899,0.07401772000000001,0.213278,0.4150241
CASE 1 (80).JPG,-0.027936201,0.03341128,0.18261379,-6.509833,-0.24043141,-0.047690285,0.19269160999999999,0.26046093,0.022084654,0.14837223,0.5695873,0.08180701,0.23352988,0.43650384
CASE 1 (81).JPG,-0.029896699,0.03364002,0.18341216,-6.1348634,-0.24383122,-0.04910859,0.19106117,0.2590074,0.021770447,0.14754812,0.56966764,0.07599072,0.23244451,0.435153
CASE 1 (82).JPG,-0.029796699,0.03374002,0.18351215999999998,-6.134763400000001,-0.24373122,-0.04900859,0.19116117,0.2591074,0.021870446999999998,0.14764812,0.56976764,0.07609072,0.23254450999999998,0.435253
CASE 1 (83).JPG,-0.035134926,0.030550137,0.17478597,-4.974707,-0.23953427,-0.05039816,0.17755774,0.23113538,0.018650062,0.13656524,0.5908452,0.06851838,0.20734611,0.3926631
CASE 1 (84).JPG,-0.027696671,0.03297311,0.181585,-6.556203,-0.2410714,-0.0469777,0.18988575,0.25008035,0.020203184,0.1421379,0.5683689,0.07651846,0.22852284,0.4186451
CASE 1 (85).JPG,-0.027596671,0.03307311,0.18168499999999999,-6.556103,-0.2409714,-0.046877699999999994,0.18998574999999998,0.25018035,0.020303184,0.1422379,0.5684688999999999,0.07661846,0.22862284,0.4187451
CASE 1 (86).JPG,-0.025744732,0.032632664,0.18064514,-7.0167804,-0.23450206,-0.04767891,0.19386485,0.24753658,0.01804316,0.13432483,0.5426464,0.071338795,0.22778708,0.40924522
CASE 1 (87).JPG,-0.025644732,0.032732664,0.18074514,-7.0166804,-0.23440206000000002,-0.047578909999999995,0.19396485,0.24763658,0.01814316,0.13442483,0.5427464,0.071438795,0.22788708,0.40934522
