image,ROI1_mean,ROI1_variance,ROI1_std,ROI1_coef_var,ROI1_p10,ROI1_p50,ROI1_p90,ROI2_mean,ROI2_variance,ROI2_std,ROI2_coef_var,ROI2_p10,ROI2_p50,ROI2_p90,ROI3_mean,ROI3_variance,ROI3_std,ROI3_coef_var,ROI3_p10,ROI3_p50,ROI3_p90
CASE 2 (14).JPG,-0.08419998,0.033969150000000004,0.18413573,-2.1830051999999998,-0.32323174,-0.094556035,0.13866897,0.088116205,0.023779262,0.15398067,1.748422,-0.11158619,0.11974573000000001,0.25365417,0.23563856,0.0026583302999999996,0.05067994,0.21484165,0.19293663,0.21651588,0.3183376
CASE 2 (140).JPG,-0.0839138,0.033056337,0.18181401,-2.1666758,-0.3194203,-0.09193252,0.12623866,0.07839471,0.022530928,0.15010306,1.9147091,-0.117147535,0.09978629,0.24802963,0.1894631,0.0017137069,0.041396942,0.21849607,0.1471643,0.17986187,0.25344902
CASE 2 (141).JPG,-0.0838138,0.033156337,0.18191401,-2.1665758,-0.3193203,-0.09183252,0.12633866,0.07849471000000001,0.022630927999999998,0.15020306,1.9148091,-0.117047535,0.09988629,0.24812963,0.18956309999999998,0.0018137069,0.041496942,0.21859606999999998,0.1472643,0.17996187,0.25354902
CASE 2 (142).JPG,-0.08293628,0.032973778,0.18158683,-2.189474,-0.31877607,-0.09263046,0.13182552,0.07578323,0.021851916,0.14782393,1.9506153,-0.117474444,0.09550086,0.23930883,0.18640715,0.0015981426,0.039976776,0.21445945,0.1451989,0.17749405,0.24137564
CASE 2 (143).JPG,-0.07967165,0.035030637,0.18716474,-2.3492012,-0.3218973,-0.09153106,0.14740214,0.07758373,0.022620799,0.15040213,1.9385782,-0.11808031,0.09637408,0.23834252,0.18564494,0.0015569214,0.039457843,0.21254466,0.146913,0.17724398,0.23834722
CASE 2 (144).JPG,-0.07957165,0.035130637000000006,0.18726473999999999,-2.3491012,-0.3217973,-0.09143106,0.14750213999999998,0.07768373,0.022720799,0.15050212999999998,1.9386782,-0.11798030999999999,0.09647408,0.23844252,0.18574494,0.0016569214000000001,0.039557843,0.21264465999999999,0.14701299999999998,0.17734397999999998,0.23844722
CASE 2 (15).JPG,-0.087726004,0.03287095,0.18130347,-2.0667017,-0.32418218,-0.09523766,0.13039179,0.092309155,0.024827188,0.15756646,1.7069429,-0.11128093,0.12449765,0.26605573,0.24533309,0.0030173857,0.054930735,0.22390267,0.19662428,0.22326243,0.33861148
CASE 2 (16).JPG,-0.087626004,0.032970950000000006,0.18140346999999998,-2.0666016999999997,-0.32408218,-0.09513766,0.13049179,0.092409155,0.024927188,0.15766645999999998,1.7070429,-0.11118093,0.12459765,0.26615573,0.24543309,0.0031173856999999997,0.055030735000000004,0.22400267,0.19672428,0.22336243,0.33871148
CASE 2 (17).JPG,-0.09287129,0.03182925,0.17840753,-1.9210192,-0.32571068,-0.0977228,0.11595764,0.08314176,0.02300795,0.15168372,1.8243988,-0.11481185,0.10985783,0.25310877,0.23525126,0.0028326074,0.053222246,0.22623575,0.1874391,0.21603183,0.32574442
CASE 2 (18).JPG,-0.08966157,0.03267396,0.1807594,-2.0160186,-0.32520434,-0.097055666,0.13067266,0.08552526,0.02353448,0.15340953,1.7937335,-0.113922186,0.11004415,0.25288656,0.23574787,0.00294956,0.054309852,0.23037261,0.18573716,0.21502596,0.3247251
CASE 2 (19).JPG,-0.08956157,0.032773960000000005,0.18085939999999998,-2.0159186,-0.32510434,-0.096955666,0.13077265999999999,0.08562526000000001,0.02363448,0.15350952999999998,1.7938335,-0.11382218599999999,0.11014415,0.25298655999999997,0.23584787,0.0030495599999999998,0.054409852,0.23047261,0.18583716,0.21512595999999998,0.3248251
CASE 2 (2).JPG,-0.0797882,0.03338232,0.18253442,-2.2835215,-0.31638076000000004,-0.08920489399999999,0.13506416999999998,0.08797540000000001,0.023680762,0.15366027999999998,1.7475774,-0.11100395,0.11250405000000001,0.26622114999999996,0.21342464,0.002062966,0.044405373000000005,0.2077899,0.17007048,0.20158969,0.27846776
CASE 2 (20).JPG,-0.084678285,0.035264697,0.18778896,-2.2176757,-0.32741758,-0.09442827,0.14298274,0.09173356,0.026169326,0.16176936,1.7634698,-0.115465,0.1133006,0.28151274,0.23582779,0.0035307135,0.059419807,0.2519627,0.18955624,0.21128389,0.34535939
CASE 2 (21).JPG,-0.084578285,0.035364697,0.18788896,-2.2175757,-0.32731758,-0.09432826999999999,0.14308273999999999,0.09183356000000001,0.026269326,0.16186936,1.7635698,-0.115365,0.1134006,0.28161274,0.23592779,0.0036307135,0.059519807,0.2520627,0.18965623999999998,0.21138389,0.34545939
CASE 2 (22).JPG,-0.08561264,0.03378783,0.18381466,-2.1470504,-0.3242633,-0.095967874,0.1390036,0.0915154,0.025136901,0.15854621,1.732454,-0.11265011,0.118162274,0.27058393,0.24419087,0.0031819714,0.056408964,0.23100357,0.19740844,0.2209284,0.347177
CASE 2 (23).JPG,-0.08141489,0.033081405,0.18188295,-2.2340255,-0.31769183,-0.091432035,0.14035733,0.09467257,0.025946565,0.16107938,1.7014366,-0.11259749,0.12261084,0.27531734,0.24845774,0.0033982557,0.05829456,0.23462565,0.19680601,0.22369388,0.3460838
CASE 2 (24).JPG,-0.08131489,0.033181405000000004,0.18198294999999998,-2.2339255,-0.31759183,-0.09133203499999999,0.14045733,0.09477257,0.026046565,0.16117937999999998,1.7015366,-0.11249748999999999,0.12271084,0.27541734,0.24855774,0.0034982557,0.058394560000000005,0.23472564999999998,0.19690601,0.22379388,0.3461838
CASE 2 (25).JPG,-0.08783939,0.03362747,0.18337794,-2.0876505,-0.32632944,-0.09571305,0.13280529,0.084891036,0.023872595,0.15450759,1.8200696,-0.1158648,0.116619185,0.2486714,0.24076475,0.0028879389,0.053739548,0.22320355,0.19636631,0.21882892,0.33459392
CASE 2 (26).JPG,-0.0871389,0.03334718,0.18261209,-2.0956438,-0.32301778,-0.09525959,0.12965138,0.08725166,0.023579128,0.15355496,1.7599087,-0.11224375,0.11426766,0.25983244,0.23751499,0.003490731,0.059082408,0.24875234,0.18962619,0.21116215,0.3444901
CASE 2 (27).JPG,-0.0870389,0.03344718,0.18271209,-2.0955437999999997,-0.32291778,-0.09515959,0.12975138,0.08735166,0.023679128,0.15365495999999998,1.7600087,-0.11214375,0.11436766,0.25993244,0.23761499,0.003590731,0.059182408000000006,0.24885233999999998,0.18972619,0.21126214999999998,0.3445901
CASE 2 (28).JPG,-0.091103725,0.033234227,0.18230256,-2.001044,-0.32940954,-0.09632887,0.12643507,0.0755955,0.021908164,0.14801407,1.9579747,-0.1170369,0.10330235,0.23140538,0.21282084,0.0029180706,0.054019168,0.25382462,0.17021911,0.19027731,0.311274
CASE 2 (29).JPG,-0.08891977,0.031634934,0.17786212,-2.000254,-0.32168552,-0.095090374,0.11859574,0.08959505,0.023576016,0.15354483,1.7137647,-0.11071601,0.12317054,0.2663044,0.24695706,0.0037269155,0.061048467,0.24720275,0.19505732,0.22143325,0.35563228
CASE 2 (3).JPG,-0.080742754,0.03308922,0.18190442,-2.2528884,-0.31548917,-0.09091419,0.13777204,0.08382452,0.022738816,0.15079395,1.7989241,-0.112076096,0.104844525,0.25626436,0.201317,0.0018160049,0.04261461,0.21167915,0.15901427,0.1897989,0.26221442
CASE 2 (30).JPG,-0.08881976999999999,0.031734934000000006,0.17796212,-2.0001539999999998,-0.32158552,-0.094990374,0.11869574000000001,0.08969505,0.023676016,0.15364482999999998,1.7138647,-0.11061601,0.12327054,0.2664044,0.24705706,0.0038269155,0.061148467000000005,0.24730275,0.19515732,0.22153325,0.35573228
CASE 2 (31).JPG,-0.09246074,0.03200351,0.17889525,-1.934824,-0.32611138,-0.09842132,0.11794526,0.080115296,0.022229705,0.1490963,1.8610216,-0.115168795,0.10702631,0.25042665,0.2293018,0.003063493,0.05534883,0.24137983,0.18260874,0.2075245,0.32219797
CASE 2 (32).JPG,-0.08526879,0.03268596,0.1807926,-2.120267,-0.31987682,-0.094669044,0.13022332,0.08228112,0.0229664,0.15154669,1.8418161,-0.1149891,0.1097427,0.2436701,0.21495703,0.0019759443,0.044451594,0.20679294,0.17551678,0.19692633,0.28663146
CASE 2 (33).JPG,-0.08516879,0.03278596,0.1808926,-2.120167,-0.31977682,-0.09456904399999999,0.13032332,0.08238112,0.0230664,0.15164669,1.8419161,-0.1148891,0.1098427,0.2437701,0.21505702999999998,0.0020759443,0.044551594,0.20689294,0.17561678,0.19702633,0.28673146
CASE 2 (34).JPG,-0.08061387,0.033240534,0.18231986,-2.261644,-0.31681755,-0.09034129,0.1365428,0.08742105,0.02359335,0.15360127,1.7570285,-0.11144755,0.11578983,0.25138146,0.21045625,0.0022293583,0.04721608,0.22435105,0.169511,0.19231552,0.2857377
CASE 2 (35).JPG,-0.08051387,0.033340534000000005,0.18241986,-2.2615439999999998,-0.31671755,-0.09024129,0.13664279999999998,0.08752105,0.02369335,0.15370127,1.7571285,-0.11134755,0.11588983,0.25148146,0.21055625,0.0023293583,0.04731608,0.22445104999999999,0.16961099999999998,0.19241551999999998,0.2858377
CASE 2 (36).JPG,-0.09546555,0.03242869,0.18007967,-1.8863314,-0.3293745,-0.10356002,0.12299338,0.07580452,0.021240806,0.14574225,1.9226065,-0.115965985,0.09301016,0.236168,0.24372296,0.0032449844,0.056964766,0.23372753,0.18963203,0.22644982,0.3229873
CASE 2 (37).JPG,-0.09536555,0.032528690000000006,0.18017967,-1.8862314,-0.3292745,-0.10346002,0.12309338,0.07590452,0.021340806,0.14584224999999998,1.9227065,-0.11586598499999999,0.09311016,0.23626799999999998,0.24382295999999998,0.0033449843999999998,0.057064766,0.23382752999999998,0.18973203,0.22654981999999999,0.32308729999999997
CASE 2 (38).JPG,-0.08679248,0.0329098,0.18141058,-2.090165,-0.3222445,-0.09605411,0.13193998,0.089524135,0.023116123,0.15203987,1.6983116,-0.10802014,0.113917165,0.26441175,0.26539278,0.0039675343,0.06298836,0.23734015,0.20122124,0.24862143,0.35611346
CASE 2 (39).JPG,-0.08669248,0.033009800000000006,0.18151057999999998,-2.0900649999999996,-0.3221445,-0.09595411,0.13203998,0.08962413500000001,0.023216122999999998,0.15213986999999998,1.6984116,-0.10792014,0.114017165,0.26451175,0.26549278,0.0040675343,0.06308836,0.23744015,0.20132123999999998,0.24872143,0.35621346
CASE 2 (4).JPG,-0.080642754,0.033189220000000005,0.18200442,-2.2527883999999996,-0.31538917,-0.09081419,0.13787204,0.08392452,0.022838815999999998,0.15089395,1.7990241,-0.111976096,0.104944525,0.25636436,0.20141699999999998,0.0019160049,0.04271461,0.21177915,0.15911427,0.18989889999999998,0.26231442
CASE 2 (40).JPG,-0.08659248,0.0331098,0.18161058,-2.089965,-0.3220445,-0.09585410999999999,0.13213998000000002,0.08972413500000001,0.023316122999999998,0.15223987,1.6985116,-0.10782014,0.114117165,0.26461175,0.26559278,0.004167534299999999,0.06318836,0.23754015,0.20142124,0.24882143,0.35631345999999997
CASE 2 (41).JPG,-0.08687705,0.033912197,0.18415265,-2.1196928,-0.3242288,-0.09934215,0.1467216,0.088123724,0.024107266,0.15526515,1.7618996,-0.112699874,0.101080745,0.27204052,0.25908855,0.003993231,0.06319202,0.24390124,0.19604251,0.24028337,0.3561378
CASE 2 (42).JPG,-0.08677705,0.034012197,0.18425265,-2.1195928,-0.3241288,-0.09924215,0.1468216,0.088223724,0.024207265999999998,0.15536514999999998,1.7619996,-0.112599874,0.101180745,0.27214052,0.25918854999999996,0.004093231,0.06329202,0.24400123999999998,0.19614251,0.24038336999999999,0.3562378
CASE 2 (43).JPG,-0.09068787,0.033112306,0.18196787,-2.0065293,-0.3269608,-0.10066375,0.13417216,0.083242126,0.02244322,0.14981061,1.799697,-0.11178066,0.099082775,0.26890698,0.24405342,0.0030367305,0.055106536,0.22579701,0.19919932,0.22337607,0.33132195
CASE 2 (44).JPG,-0.086180605,0.033732813,0.18366495,-2.1311634,-0.32393312,-0.09706431,0.14705276,0.08897401,0.024030047,0.15501627,1.7422647,-0.11061199,0.105647795,0.2825372,0.24898899,0.0030954608,0.055636864,0.22345111,0.20179248,0.22841251,0.33605847
CASE 2 (45).JPG,-0.08608060499999999,0.033832813,0.18376494999999998,-2.1310634,-0.32383312000000003,-0.09696431,0.14715276,0.08907401000000001,0.024130046999999998,0.15511627,1.7423647,-0.11051198999999999,0.105747795,0.2826372,0.24908898999999998,0.0031954607999999996,0.055736864000000004,0.22355111,0.20189247999999999,0.22851251,0.33615847
CASE 2 (46).JPG,-0.09417925,0.0322489,0.17957978,-1.9067872,-0.32804155,-0.10196359,0.122971,0.08007854,0.021755867,0.1474987,1.8419254,-0.11213851,0.09736648,0.2612693,0.23255552,0.0027994884,0.05291019,0.22751638,0.18902703,0.21107374,0.31629995
CASE 2 (47).JPG,-0.09407925,0.0323489,0.17967977999999998,-1.9066872,-0.32794155,-0.10186359,0.123071,0.08017854,0.021855867,0.1475987,1.8420254,-0.11203851,0.09746648000000001,0.26136929999999997,0.23265551999999998,0.0028994883999999997,0.053010190000000006,0.22761637999999998,0.18912703,0.21117374,0.31639995
CASE 2 (48).JPG,-0.086422734,0.034013998,0.18442884,-2.1340315,-0.32634324,-0.09589718,0.13906837,0.085555635,0.024222814,0.1556368,1.8191297,-0.11550837,0.106928594,0.25729975,0.23671032,0.0028868366,0.053729292,0.22698331,0.19191329,0.21648222,0.3206023
CASE 2 (49).JPG,-0.086322734,0.034113998,0.18452884,-2.1339314999999996,-0.32624324,-0.09579718,0.13916836999999999,0.08565563500000001,0.024322813999999998,0.15573679999999998,1.8192297,-0.11540837,0.107028594,0.25739975,0.23681032,0.0029868366,0.053829292,0.22708330999999998,0.19201328999999998,0.21658222,0.3207023
