image,ROI1_mean,ROI1_variance,ROI1_std,ROI1_coef_var,ROI1_p10,ROI1_p50,ROI1_p90,ROI2_mean,ROI2_variance,ROI2_std,ROI2_coef_var,ROI2_p10,ROI2_p50,ROI2_p90,ROI3_mean,ROI3_variance,ROI3_std,ROI3_coef_var,ROI3_p10,ROI3_p50,ROI3_p90
CASE 3 (117).JPG,0.20078705,0.0030117214,0.05487915,0.27332017,0.12915784,0.19616115,0.27815935,0.09686656,0.02771627,0.16648205,1.7186741,-0.108585306,0.09876953,0.30089635,0.0056783427,0.08662474,0.29432082,51.83217,-0.3145318,-0.07283039,0.40714556
CASE 3 (118).JPG,0.20078705,0.0030117214,0.05487915,0.27332017,0.12915784,0.19616115,0.27815935,0.09686656,0.02771627,0.16648205,1.7186741,-0.108585306,0.09876953,0.30089635,0.0056783427,0.08662474,0.29432082,51.83217,-0.3145318,-0.07283039,0.40714556
CASE 3 (119).JPG,0.20605373,0.0029806257,0.054595105,0.26495567,0.13308227,0.20297834,0.2824615,0.092940874,0.02662453,0.16317025,1.7556349,-0.10898551,0.089500085,0.30615935,-0.010555215,0.079412386,0.28180203,-26.697895,-0.3212146,-0.07979356,0.38475
CASE 3 (12).JPG,0.20102115,0.0028537486,0.053420488,0.2657456,0.13138059,0.19715732,0.27541852,0.110522136,0.031263173,0.17681395,1.5998057,-0.10587332,0.105912775,0.326188,0.008626743,0.0923267,0.3038531,35.222225,-0.32221997,-0.07064097,0.4343034
CASE 3 (120).JPG,0.20605373,0.0029806257,0.054595105,0.26495567,0.13308227,0.20297834,0.2824615,0.092940874,0.02662453,0.16317025,1.7556349,-0.10898551,0.089500085,0.30615935,-0.010555215,0.079412386,0.28180203,-26.697895,-0.3212146,-0.07979356,0.38475
CASE 3 (121).JPG,0.20605373,0.0029806257,0.054595105,0.26495567,0.13308227,0.20297834,0.2824615,0.092940874,0.02662453,0.16317025,1.7556349,-0.10898551,0.089500085,0.30615935,-0.010555215,0.079412386,0.28180203,-26.697895,-0.3212146,-0.07979356,0.38475
CASE 3 (122).JPG,0.2001367,0.0027138102,0.052094243,0.2602933,0.1314813,0.19734317,0.27141482,0.0921764,0.026297288,0.16216439,1.7592832,-0.1086345,0.097169295,0.30625358,-0.016015418,0.07372798,0.27152896,-16.954222,-0.3183842,-0.07934234,0.35854462
CASE 3 (123).JPG,0.20766187,0.0031660197,0.056267396,0.2709568,0.13423274,0.20421174,0.2865014,0.09815293,0.02788277,0.16698134,1.7012365,-0.10769156,0.09789985,0.31350204,0.0028810662,0.090932585,0.3015503,104.666214,-0.3233208,-0.07647072,0.4378806
CASE 3 (124).JPG,0.20766187,0.0031660197,0.056267396,0.2709568,0.13423274,0.20421174,0.2865014,0.09815293,0.02788277,0.16698134,1.7012365,-0.10769156,0.09789985,0.31350204,0.0028810662,0.090932585,0.3015503,104.666214,-0.3233208,-0.07647072,0.4378806
CASE 3 (125).JPG,0.20881736,0.0031822517,0.05641145,0.27014732,0.13247748,0.20571828,0.28381753,0.09341079,0.026705647,0.16341862,1.7494619,-0.10905478,0.09377241,0.30734825,-0.0077350973,0.08151413,0.28550678,-36.91056,-0.32082427,-0.07930286,0.39502454
CASE 3 (126).JPG,0.20947991,0.0032408235,0.056928232,0.27175987,0.13430065,0.20551686,0.2885314,0.09837888,0.02776154,0.16661794,1.6936352,-0.1059165,0.097670875,0.3115404,0.001085926,0.089663826,0.2994392,275.74548,-0.3234874,-0.07711136,0.43071824
CASE 3 (127).JPG,0.20947991,0.0032408235,0.056928232,0.27175987,0.13430065,0.20551686,0.2885314,0.09837888,0.02776154,0.16661794,1.6936352,-0.1059165,0.097670875,0.3115404,0.001085926,0.089663826,0.2994392,275.74548,-0.3234874,-0.07711136,0.43071824
CASE 3 (128).JPG,0.20076333,0.0025522502,0.050519798,0.25163856,0.13705936,0.19833043,0.26286104,0.09070308,0.0261946,0.16184746,1.7843657,-0.10871556,0.09056666,0.3034961,-0.008444461,0.082014754,0.28638217,-33.913612,-0.32230353,-0.08024014,0.39494416
CASE 3 (129).JPG,0.20875363,0.003327935,0.05768826,0.27634615,0.13140059,0.20623685,0.28779387,0.10274042,0.028914219,0.17004181,1.6550624,-0.10466021,0.1048563,0.32151142,0.0034304915,0.09080956,0.30134624,87.84346,-0.3231114,-0.07441485,0.43376985
CASE 3 (13).JPG,0.20102115,0.0028537486,0.053420488,0.2657456,0.13138059,0.19715732,0.27541852,0.110522136,0.031263173,0.17681395,1.5998057,-0.10587332,0.105912775,0.326188,0.008626743,0.0923267,0.3038531,35.222225,-0.32221997,-0.07064097,0.4343034
CASE 3 (130).JPG,0.20875363,0.003327935,0.05768826,0.27634615,0.13140059,0.20623685,0.28779387,0.10274042,0.028914219,0.17004181,1.6550624,-0.10466021,0.1048563,0.32151142,0.0034304915,0.09080956,0.30134624,87.84346,-0.3231114,-0.07441485,0.43376985
CASE 3 (131).JPG,0.20534772,0.0026509701,0.051487572,0.2507336,0.1358946,0.20671262,0.2629234,0.08895915,0.025870394,0.16084276,1.808052,-0.10792084,0.07856016,0.2956462,-0.02321988,0.05618622,0.23703633,-10.208336,-0.29207814,-0.07510392,0.27794597
CASE 3 (132).JPG,0.20534772,0.0026509701,0.051487572,0.2507336,0.1358946,0.20671262,0.2629234,0.08895915,0.025870394,0.16084276,1.808052,-0.10792084,0.07856016,0.2956462,-0.02321988,0.05618622,0.23703633,-10.208336,-0.29207814,-0.07510392,0.27794597
CASE 3 (133).JPG,0.18886112,0.0022413183,0.047342565,0.25067398,0.12672505,0.18611489,0.24857569,0.09271109,0.0272577,0.16509905,1.7807908,-0.1126572,0.09473048,0.28922608,0.0005636779,0.090690255,0.30114824,534.25586,-0.32785362,-0.0779185,0.4192335
CASE 3 (134).JPG,0.19865131,0.0021736773,0.046622712,0.23469622,0.13918602,0.19513434,0.2603196,0.0994673,0.028578872,0.16905287,1.6995823,-0.10904307,0.104566336,0.30780065,0.0045772754,0.092091,0.30346498,66.29817,-0.32589233,-0.07470423,0.42722282
CASE 3 (135).JPG,0.19865131,0.0021736773,0.046622712,0.23469622,0.13918602,0.19513434,0.2603196,0.0994673,0.028578872,0.16905287,1.6995823,-0.10904307,0.104566336,0.30780065,0.0045772754,0.092091,0.30346498,66.29817,-0.32589233,-0.07470423,0.42722282
CASE 3 (136).JPG,0.20039436,0.002099616,0.045821566,0.22865696,0.14488903,0.19642748,0.25914627,0.096232824,0.027764937,0.16662814,1.7315104,-0.10989297,0.10132348,0.29995698,0.0017965033,0.09030169,0.3005024,167.2707,-0.3260116,-0.07535663,0.42292207
CASE 3 (137).JPG,0.20039436,0.002099616,0.045821566,0.22865696,0.14488903,0.19642748,0.25914627,0.096232824,0.027764937,0.16662814,1.7315104,-0.10989297,0.10132348,0.29995698,0.0017965033,0.09030169,0.3005024,167.2707,-0.3260116,-0.07535663,0.42292207
CASE 3 (138).JPG,0.1965816,0.0027460938,0.052403186,0.26657218,0.12647468,0.19435665,0.257368,0.10847949,0.031071259,0.17627041,1.6249192,-0.10783632,0.11184803,0.3216637,0.027858686,0.10777845,0.32829627,11.784342,-0.3221524,-0.069801465,0.52068
CASE 3 (139).JPG,0.1965816,0.0027460938,0.052403186,0.26657218,0.12647468,0.19435665,0.257368,0.10847949,0.031071259,0.17627041,1.6249192,-0.10783632,0.11184803,0.3216637,0.027858686,0.10777845,0.32829627,11.784342,-0.3221524,-0.069801465,0.52068
CASE 3 (14).JPG,0.18571511,0.0023599975,0.048579805,0.2615824,0.12159539,0.1838671,0.2439177,0.09798165,0.028257722,0.16810033,1.7156308,-0.11001594,0.08948169,0.30271566,0.0018041274,0.08994903,0.29991505,166.2383,-0.32511678,-0.07533473,0.41988865
CASE 3 (140).JPG,0.20514119,0.0026679272,0.05165198,0.25178748,0.1408838,0.19919148,0.27638602,0.101004824,0.0293588,0.1713441,1.6963953,-0.10973902,0.10271727,0.30692023,0.0068030097,0.09304634,0.30503497,44.838238,-0.32454568,-0.07438474,0.4392984
CASE 3 (141).JPG,0.20329565,0.0023299865,0.048269935,0.23743713,0.14323343,0.20039451,0.2609811,0.10164678,0.029152595,0.1707413,1.6797513,-0.10885255,0.10420071,0.305245,0.0097400695,0.0952457,0.30861902,31.685505,-0.32492244,-0.0747094,0.44460636
CASE 3 (142).JPG,0.20329565,0.0023299865,0.048269935,0.23743713,0.14323343,0.20039451,0.2609811,0.10164678,0.029152595,0.1707413,1.6797513,-0.10885255,0.10420071,0.305245,0.0097400695,0.0952457,0.30861902,31.685505,-0.32492244,-0.0747094,0.44460636
CASE 3 (143).JPG,0.18492715,0.0022769906,0.04771782,0.25803578,0.12309341,0.1820538,0.24399084,0.091601804,0.027347421,0.16537055,1.8053198,-0.11323247,0.088202015,0.29278952,4.5938817e-05,0.091726124,0.3028632,6592.7515,-0.32974127,-0.07737854,0.42798376
CASE 3 (144).JPG,0.19731407,0.0025411698,0.050410017,0.25548112,0.1318722,0.1924356,0.26104128,0.09955668,0.029149394,0.17073193,1.714922,-0.11078649,0.100114435,0.30507517,0.0059851524,0.09245325,0.30406126,50.802593,-0.32484365,-0.07411467,0.43274212
CASE 3 (15).JPG,0.18337475,0.002760668,0.05254206,0.28652832,0.11211818,0.18231529,0.25222245,0.103375204,0.030184979,0.17373824,1.6806568,-0.11020975,0.10101336,0.3118447,0.0038554464,0.091075175,0.30178663,78.275406,-0.32533205,-0.0741179,0.42520297
CASE 3 (16).JPG,0.18337475,0.002760668,0.05254206,0.28652832,0.11211818,0.18231529,0.25222245,0.103375204,0.030184979,0.17373824,1.6806568,-0.11020975,0.10101336,0.3118447,0.0038554464,0.091075175,0.30178663,78.275406,-0.32533205,-0.0741179,0.42520297
CASE 3 (17).JPG,0.18706708,0.0026542754,0.05151966,0.2754074,0.118467316,0.185447,0.25604147,0.0964596,0.028807845,0.16972874,1.7595837,-0.11235528,0.0805708,0.30282366,0.005397202,0.09338514,0.30558982,56.620045,-0.32738,-0.07567286,0.43961203
CASE 3 (18).JPG,0.18706708,0.0026542754,0.05151966,0.2754074,0.118467316,0.185447,0.25604147,0.0964596,0.028807845,0.16972874,1.7595837,-0.11235528,0.0805708,0.30282366,0.005397202,0.09338514,0.30558982,56.620045,-0.32738,-0.07567286,0.43961203
CASE 3 (19).JPG,0.225029,0.0030929393,0.0556142,0.24714236,0.15579726,0.21706668,0.30839467,0.113257185,0.03181566,0.17836945,1.5749062,-0.10500478,0.10488857,0.33652937,0.012089752,0.09409629,0.3067512,25.372828,-0.3191794,-0.07014995,0.44827637
CASE 3 (2).JPG,0.20529678,0.0024921652,0.04992159,0.2431679,0.14110538,0.2021052,0.27431628,0.11062149,0.03108176,0.1763002,1.5937247,-0.10497385,0.1129532,0.32814768,0.0148473745,0.09490696,0.30806974,20.749105,-0.31785208,-0.068852544,0.45102713
CASE 3 (20).JPG,0.225029,0.0030929393,0.0556142,0.24714236,0.15579726,0.21706668,0.30839467,0.113257185,0.03181566,0.17836945,1.5749062,-0.10500478,0.10488857,0.33652937,0.012089752,0.09409629,0.3067512,25.372828,-0.3191794,-0.07014995,0.44827637
CASE 3 (21).JPG,0.19680399,0.002352398,0.048501525,0.24644585,0.1333154,0.19397116,0.2623691,0.09863042,0.028260246,0.16810784,1.7044218,-0.10846262,0.095271625,0.31267083,-0.0035760961,0.08384148,0.28955394,-80.969284,-0.32058334,-0.07433526,0.40291247
CASE 3 (22).JPG,0.19680399,0.002352398,0.048501525,0.24644585,0.1333154,0.19397116,0.2623691,0.09863042,0.028260246,0.16810784,1.7044218,-0.10846262,0.095271625,0.31267083,-0.0035760961,0.08384148,0.28955394,-80.969284,-0.32058334,-0.07433526,0.40291247
CASE 3 (23).JPG,0.17975527,0.0037697863,0.061398584,0.34156764,0.10407911,0.16748442,0.26389024,0.116114326,0.03187279,0.17852952,1.5375322,-0.10208381,0.12483822,0.32933465,0.018149478,0.094924204,0.30809772,16.975569,-0.31448537,-0.06850092,0.456432
CASE 3 (24).JPG,0.17975527,0.0037697863,0.061398584,0.34156764,0.10407911,0.16748442,0.26389024,0.116114326,0.03187279,0.17852952,1.5375322,-0.10208381,0.12483822,0.32933465,0.018149478,0.094924204,0.30809772,16.975569,-0.31448537,-0.06850092,0.456432
CASE 3 (25).JPG,0.18634471,0.0030690748,0.05539923,0.29729435,0.11714943,0.17707503,0.26151082,0.10952806,0.029994462,0.17318909,1.5812304,-0.1020607,0.11233872,0.32452002,0.019662952,0.09216526,0.30358732,15.43956,-0.30754405,-0.06779179,0.44030604
CASE 3 (26).JPG,0.17721015,0.0035176198,0.059309524,0.33468467,0.105365716,0.16516104,0.25609732,0.107175715,0.030099312,0.17349154,1.618758,-0.10568616,0.10678382,0.3182467,0.011437168,0.0917683,0.30293283,26.486698,-0.3172159,-0.07213201,0.43440482
CASE 3 (27).JPG,0.17721015,0.0035176198,0.059309524,0.33468467,0.105365716,0.16516104,0.25609732,0.107175715,0.030099312,0.17349154,1.618758,-0.10568616,0.10678382,0.3182467,0.011437168,0.0917683,0.30293283,26.486698,-0.3172159,-0.07213201,0.43440482
CASE 3 (28).JPG,0.17721015,0.0035176198,0.059309524,0.33468467,0.105365716,0.16516104,0.25609732,0.107175715,0.030099312,0.17349154,1.618758,-0.10568616,0.10678382,0.3182467,0.011437168,0.0917683,0.30293283,26.486698,-0.3172159,-0.07213201,0.43440482
CASE 3 (29).JPG,0.16709292,0.003337382,0.05777008,0.34573627,0.09623353,0.15480602,0.24367172,0.09865613,0.02859138,0.16908985,1.7139314,-0.11035363,0.098940685,0.29932567,0.009507003,0.09611696,0.31002736,32.61042,-0.3269084,-0.07650182,0.4506168
CASE 3 (3).JPG,0.20529678,0.0024921652,0.04992159,0.2431679,0.14110538,0.2021052,0.27431628,0.11062149,0.03108176,0.1763002,1.5937247,-0.10497385,0.1129532,0.32814768,0.0148473745,0.09490696,0.30806974,20.749105,-0.31785208,-0.068852544,0.45102713
CASE 3 (30).JPG,0.16709292,0.003337382,0.05777008,0.34573627,0.09623353,0.15480602,0.24367172,0.09865613,0.02859138,0.16908985,1.7139314,-0.11035363,0.098940685,0.29932567,0.009507003,0.09611696,0.31002736,32.61042,-0.3269084,-0.07650182,0.4506168
CASE 3 (31).JPG,0.18043223,0.0031046683,0.05571955,0.30881152,0.11237749,0.16841748,0.2536458,0.11088277,0.03098874,0.1760362,1.5875884,-0.10458116,0.112336874,0.32180354,0.022689043,0.098988324,0.3146241,13.866786,-0.3150443,-0.069439955,0.46784517
CASE 3 (32).JPG,0.16501947,0.0033251143,0.057663802,0.34943637,0.09550729,0.15148047,0.24144521,0.10234304,0.029074991,0.1705139,1.6661016,-0.10750262,0.10938403,0.3079147,0.009811159,0.09433082,0.30713323,31.30448,-0.32265222,-0.07545096,0.4452223
CASE 3 (33).JPG,0.16501947,0.0033251143,0.057663802,0.34943637,0.09550729,0.15148047,0.24144521,0.10234304,0.029074991,0.1705139,1.6661016,-0.10750262,0.10938403,0.3079147,0.009811159,0.09433082,0.30713323,31.30448,-0.32265222,-0.07545096,0.4452223
CASE 3 (34).JPG,0.16684328,0.0033779584,0.058120206,0.3483521,0.0941145,0.1574584,0.25137448,0.10232606,0.029209148,0.17090684,1.6702182,-0.1070472,0.101506606,0.3098406,0.010984621,0.09386647,0.30637634,27.89139,-0.3203905,-0.07416322,0.44267648
CASE 3 (35).JPG,0.16684328,0.0033779584,0.058120206,0.3483521,0.0941145,0.1574584,0.25137448,0.10232606,0.029209148,0.17090684,1.6702182,-0.1070472,0.101506606,0.3098406,0.010984621,0.09386647,0.30637634,27.89139,-0.3203905,-0.07416322,0.44267648
CASE 3 (36).JPG,0.15584977,0.0032511523,0.057018876,0.36585793,0.08768771,0.14368075,0.23683329,0.08989294,0.026898466,0.16400751,1.824476,-0.113238424,0.084942564,0.28968036,-0.0006978465,0.09088862,0.3014774,-432.01105,-0.33025357,-0.08008697,0.4249947
CASE 3 (37).JPG,0.17313366,0.0038824321,0.062309165,0.35989055,0.09662532,0.1586165,0.26509303,0.09667609,0.027869832,0.1669426,1.726824,-0.10914323,0.09502083,0.304011,0.0050458456,0.09162089,0.30268943,59.98785,-0.3239719,-0.07625085,0.4322288
CASE 3 (38).JPG,0.17682418,0.0030968776,0.055649597,0.3147171,0.106620215,0.16797143,0.24995548,0.09953773,0.028569452,0.169025,1.6980999,-0.10725353,0.10184947,0.31078854,0.009596834,0.09440599,0.30725557,32.016346,-0.32246435,-0.07402849,0.4401377
CASE 3 (39).JPG,0.17754897,0.0035864124,0.059886664,0.3372966,0.10754954,0.16144067,0.26574588,0.10241974,0.02822764,0.16801083,1.6404145,-0.10490277,0.10880645,0.30705538,0.007983101,0.08980321,0.29967183,37.538277,-0.31654543,-0.07362713,0.42839083
CASE 3 (4).JPG,0.18755618,0.0026964825,0.051927667,0.27686462,0.118207246,0.1851514,0.2566918,0.09631818,0.028691914,0.16938688,1.758618,-0.1129912,0.09656751,0.3035151,-0.0043419623,0.088161826,0.29692057,-68.38396,-0.3298697,-0.07886685,0.4069839
CASE 3 (40).JPG,0.17754897,0.0035864124,0.059886664,0.3372966,0.10754954,0.16144067,0.26574588,0.10241974,0.02822764,0.16801083,1.6404145,-0.10490277,0.10880645,0.30705538,0.007983101,0.08980321,0.29967183,37.538277,-0.31654543,-0.07362713,0.42839083
CASE 3 (41).JPG,0.17754897,0.0035864124,0.059886664,0.3372966,0.10754954,0.16144067,0.26574588,0.10241974,0.02822764,0.16801083,1.6404145,-0.10490277,0.10880645,0.30705538,0.007983101,0.08980321,0.29967183,37.538277,-0.31654543,-0.07362713,0.42839083
CASE 3 (42).JPG,0.17131746,0.0033408767,0.057800315,0.33738717,0.09881568,0.16085309,0.25337526,0.10288824,0.029008368,0.17031842,1.6553731,-0.10634353,0.10597667,0.3059508,0.013999899,0.09466619,0.3076787,21.97721,-0.31809163,-0.07234043,0.44687828
CASE 3 (43).JPG,0.18883637,0.003874044,0.06224182,0.32960716,0.1143848,0.17313266,0.28581753,0.09848815,0.02764569,0.16626993,1.6882226,-0.10587332,0.09795998,0.3116583,0.0073611424,0.08790606,0.29648957,40.277657,-0.31367138,-0.073185936,0.42054665
CASE 3 (44).JPG,0.18883637,0.003874044,0.06224182,0.32960716,0.1143848,0.17313266,0.28581753,0.09848815,0.02764569,0.16626993,1.6882226,-0.10587332,0.09795998,0.3116583,0.0073611424,0.08790606,0.29648957,40.277657,-0.31367138,-0.073185936,0.42054665
CASE 3 (45).JPG,0.18009976,0.0036951024,0.060787354,0.33752048,0.10877015,0.16668227,0.26904172,0.08513962,0.025044022,0.15825303,1.8587472,-0.11142444,0.073910095,0.28894585,-0.0029893657,0.08456351,0.29079807,-97.27751,-0.319383,-0.08002365,0.40265542
CASE 3 (46).JPG,0.18009976,0.0036951024,0.060787354,0.33752048,0.10877015,0.16668227,0.26904172,0.08513962,0.025044022,0.15825303,1.8587472,-0.11142444,0.073910095,0.28894585,-0.0029893657,0.08456351,0.29079807,-97.27751,-0.319383,-0.08002365,0.40265542
CASE 3 (47).JPG,0.18599413,0.0038312809,0.06189734,0.3327919,0.113915466,0.16751911,0.28153855,0.09252342,0.026664365,0.16329227,1.764875,-0.10753737,0.08602008,0.3057846,-0.0066273836,0.07957747,0.28209478,-42.56503,-0.31617075,-0.07738734,0.3809605
CASE 3 (48).JPG,0.19026464,0.004127329,0.06424429,0.33765754,0.11436057,0.17114,0.28964925,0.09767606,0.027516454,0.16588084,1.6982753,-0.10423164,0.09229897,0.3136267,4.249811e-05,0.08506291,0.29165548,6862.7866,-0.31514597,-0.074639454,0.40921873
CASE 3 (49).JPG,0.19026464,0.004127329,0.06424429,0.33765754,0.11436057,0.17114,0.28964925,0.09767606,0.027516454,0.16588084,1.6982753,-0.10423164,0.09229897,0.3136267,4.249811e-05,0.08506291,0.29165548,6862.7866,-0.31514597,-0.074639454,0.40921873
CASE 3 (5).JPG,0.19745122,0.0028824431,0.05368839,0.2719071,0.1285306,0.1934888,0.2643955,0.097355805,0.028481893,0.1687658,1.733495,-0.11125506,0.09250237,0.30205375,0.003296775,0.091492616,0.30247745,91.7495,-0.32722366,-0.07559678,0.42166615
CASE 3 (50).JPG,0.19875151,0.0047614635,0.06900336,0.34718406,0.11614028,0.1793229,0.30948797,0.10576904,0.02971494,0.17238022,1.6297796,-0.10467211,0.104494885,0.3259668,0.009495533,0.089404,0.29900503,31.48902,-0.3124934,-0.072502986,0.42984095
CASE 3 (51).JPG,0.1990389,0.004674504,0.06837034,0.34350243,0.11734169,0.17783825,0.3054136,0.1024408,0.028770417,0.16961844,1.6557704,-0.10444834,0.09474041,0.32118583,0.004066327,0.084198296,0.29016942,71.35909,-0.31022784,-0.07402627,0.41146258
CASE 3 (52).JPG,0.18028443,0.0038224203,0.061825726,0.34293437,0.10973233,0.1637823,0.27620244,0.08539744,0.024552263,0.15669163,1.8348516,-0.11055127,0.07816973,0.28499293,-0.010892326,0.075279504,0.27437112,-25.189396,-0.31413487,-0.07885366,0.362707
CASE 3 (53).JPG,0.1876837,0.0040037204,0.06327496,0.33713612,0.11052694,0.17725432,0.28591278,0.093066715,0.027244989,0.16506056,1.7735724,-0.10879924,0.0747512,0.3024922,0.0028334248,0.0854789,0.29236776,103.18529,-0.3139642,-0.07537882,0.42020193
CASE 3 (54).JPG,0.19865087,0.003674328,0.060616236,0.30513954,0.12406285,0.18892255,0.28900018,0.10363142,0.028739335,0.1695268,1.635863,-0.10391358,0.099528335,0.32211798,0.0034368746,0.087463446,0.29574218,86.04974,-0.31620178,-0.074456945,0.41827193
